name,ISIN,sectype,exchange,position,marketPrice,marketValue,averageCost,unrealizedPNL,realizedPNL,accountName
APPLE INC,US0378331005,STK,,37,180.80000305,6689.6,169.60513515,414.21,0.0,DU6828925
AIRTIFICIAL INTELLIGENCE STR,ES0152768612,STK,,104,0.0854,8.88,0.1684404,-8.64,0.0,DU6828925
ALPHABET INC-CL C,US02079K1079,STK,,-2,122.98000335,-245.96,106.129,-33.7,0.0,DU6828925
ALPHABET INC-CL A,US02079K3059,STK,,2,122.41000365,244.82,109.06,26.7,0.0,DU6828925
INTUITIVE SURGICAL INC,US46120E6023,STK,,10,312.8699951,3128.7,309.025,38.45,0.0,DU6828925
JOHNSON & JOHNSON,US4781601046,STK,,40,160.05000305,6402.0,164.165,-164.6,0.0,DU6828925
MICROSOFT CORP,US5949181045,STK,,-20,327.3800049,-6547.6,332.627195,104.94,0.0,DU6828925
NETFLIX INC,US64110L1061,STK,,67,420.0499878,28143.35,324.7117642,6387.66,0.0,DU6828925
NH HOTEL GROUP SA,ES0161560018,STK,,50,4.3499999,217.5,4.56,-10.5,0.0,DU6828925
SANOFI,FR0000120578,STK,,2,95.37999725,190.76,100.8,-10.84,0.0,DU6828925
BANCO SANTANDER SA-SPON ADR,US05964H1059,STK,,40,3.4276774,137.11,3.445,-0.69,0.0,DU6828925
WALMART INC,US9311421039,STK,,7,153.0700073,1071.49,151.13285715,13.56,0.0,DU6828925
